"obelezje","znacaj_suma","znacaj_stablo"
"d3_share",0.1371,0.0702
"mean_x",0.1315,0.6028
"f3_share",0.1232,0.0065
"sd_x",0.0973,0.1218
"clearances_p90",0.0802,0
"sd_y",0.0547,0
"tackles_p90",0.0347,0
"shots_p90",0.0336,0.0223
"pressures_p90",0.0328,0.0146
"miscontrols_p90",0.0324,0
"interceptions_p90",0.0321,0.1012
"carries_p90",0.0226,0.0278
"dispossessed_p90",0.0211,0.0038
"long_passes_p90",0.0184,0
"xg_p90",0.0178,0
"blocks_p90",0.0167,0
"passes_p90",0.0164,0.0083
"duels_p90",0.0156,0
"mean_y",0.0146,0.0175
"avg_pass_length",0.0134,0
"dribbles_p90",0.0133,0
"ball_recoveries_p90",0.0122,0
"key_passes_p90",0.009,0
"fouls_p90",0.0083,0
"pass_completion_pct",0.0044,0
"ball_receipts_p90",0.0036,0
"dribble_success_pct",0.0013,0
"goals_p90",0.0012,0
"assists_p90",0.0004,0.0032
